transaction_id,customer_id,product_id,sale_date,quantity,total_price,sales_channel
TRX-b9d3003a,CUST-13ec1c49,PROD-02362c25,2023-08-24,1.0,179.08,Mobile App
TRX-7626dfcb,CUST-2f44ce56,PROD-b2d98f99,2023-04-22,3.0,573.39,In-Store
TRX-ade9e0f8,CUST-99750f29,PROD-81dbf539,Police big attack.,1.0,378.66,Online
TRX-13bb1ad9,CUST-41ce8dde,PROD-874248ca,2023-03-07,3.0,855.93,In-Store_NOISE_suffer
TRX-c98dd6ed,CUST-0a8f912b,PROD-ebf8a1ae,Similar move kid.,4.0_NOISE_good,601.64,Mobile App
TRX-3b2ee2ed,CUST-84a65c98,PROD-d9ce9bf6,2023-11-02,2.0,264.3,Mobile App
TRX-1bea44f0,CUST-598ca9cc,PROD-b75bd875,2023-12-01,3.0_future,516.42,face
TRX-d2227cc0,CUST-71e3c7a1,PROD-1162b4d0,2023-11-04,1.0,239.66,Mobile App
TRX-1d80af65,CUST-76adfe7e,PROD-e49a73fe,2023-01-30,3.0,996.69,Mobile App
TRX-fadc8cb5,CUST-e17bd378,bad,2023-03-22,1.0,133.37,Online
TRX-d128f044,CUST-08372bc1,PROD-da582398,2023-05-18,4.0,445.12,Online
TRX-22583f56,CUST-d794065f,PROD-fda1424b,2023-09-30,4.0,1178.16,Online
TRX-37d72859,CUST-474eda36,PROD-711b7e17,2023-09-19,1.0,285.03,Mobile App_NOISE_watch
TRX-671ea3ff,Hotel perhaps your.,PROD-e6000f71,2023-08-23,3.0,769.62,In-Store
TRX-e833c6a2,CUST-74920ccf,PROD-d7886909,2023-04-21,1.0,56.0,In-Store
TRX-343d3b22,CUST-b827794d,PROD-315cc0f9,847,3.0,1036.56,In-Store
TRX-8785d373,CUST-4fcf45a3,PROD-9f6cd8f7,2023-01-08,4.0,1149.44,Online
TRX-620aee5c,Industry sing bag.,PROD-162255cc,2023-12-18,3.0,1418.82,In-Store
TRX-559b37b7,CUST-090d0f47,PROD-872b117f,2023-06-09,2.0,115.24,Online
TRX-a399e777,CUST-2531d6bc,PROD-d4460bd4,2023-02-20,3.0,1152.15,Online
TRX-1ecc091b,CUST-83bdc2d7_spring,PROD-a7f3ebd9,2023-04-02,2.0,939.78,Online
TRX-c9003cf9,Institution me or.,PROD-8e56bce7,337,1.0,200.45,Online
